,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.04427109413911743,0.29705431240179614,0.0800664336121343,0.3644254130221306,0.10286769303496514,R
1,0.37032525661658544,0.22199439710765437,0.06366827482912073,0.290252101385681,0.05689200814682305,R
2,0.2883655905808281,0.5076501911768967,0.5642287193724581,0.1884794518812211,0.14717196823091902,R
3,0.7400093437326825,0.7117166732554804,0.6854104315586192,0.44761101674211423,0.7191482027185481,M
4,0.47981947277195713,0.3781701135817309,0.25677087774601304,0.07647567149101683,0.1767435230205375,R
5,0.3289765428837445,0.34947036094159883,0.23587521907853046,0.35979600358550334,0.28506064766511297,R
6,0.6267009717141768,0.9187233051295409,0.5554817757079079,0.795771669902127,0.9003232256745841,M
7,0.07233783527329864,0.1384186708111901,0.4728463477268163,0.017436207166068658,0.10172650249006171,R
8,0.9322954506924257,0.5597154810182865,0.772059513949457,0.9180673806415098,0.7649845446991071,M
9,0.3383723968134968,0.5088934555200236,0.35977541824125975,0.31021428324852696,0.0052892242693909014,R
10,0.7415940708631502,0.5944906800553723,0.9670424081355165,0.8662193676120269,0.9882223478493188,M
11,0.12677455637844354,0.3665166689651775,0.09809800617059676,0.568635243082328,0.5474690907324223,R
12,0.4979113889916629,0.6103926127331345,0.9279454404358531,0.7352002989470472,0.6066102470121979,M
13,0.39561878213441826,0.3738961305279433,0.22942170185064684,0.12458267655571258,0.021509893878095356,R
14,0.8322536430235319,0.5640101495967561,0.4371852680906194,0.679663045543839,0.6187346812929918,M
15,0.07954017855423019,0.024136555047866798,0.3771601665021332,0.2000452428281981,0.49682646677446396,R
16,0.24061199678329107,0.0737520731471898,0.3370346766292047,0.32087315496392743,0.02911377808704439,R
17,0.48768071653610573,0.6453082860152523,0.800002230495729,0.889633283897443,0.8141131307105514,M
18,0.08507683250595982,0.42089446305670997,0.3208665786248854,0.49521822009101363,0.2002543374883695,R
19,0.7175690526490488,0.6461351712496889,0.4753033569835298,0.7984259673247454,0.4420935607746313,M
20,0.11131192567327215,0.3607462829669277,0.23234772691184194,0.5067179311015849,0.26746791212037674,R
21,0.2237861331854154,0.010805494759849425,0.07846919365063476,0.4929048969034648,0.3106622939790777,R
22,0.6620696588000925,0.6577446797848001,0.49409832305414525,0.8011851942353853,0.7494085843115363,M
23,0.11324553403912326,0.14898525444436142,0.19031804928029414,0.24382980101424523,0.18802528152757442,R
24,0.9371044800183994,0.9072031442330268,0.5794375462244479,0.6126887643641619,0.6380368938188286,M
25,0.31251710057922777,0.48955786184490835,0.23025561839257289,0.057971318620549335,0.5130512612014669,R
26,0.441625937286655,0.5337628300811863,0.18830737867946312,0.023039831492166287,0.2961079606490847,R
27,0.31863753545934653,0.44940746388502945,0.42766933385174016,0.19213915807435603,0.38752099209988605,R
28,0.992096956626664,0.6689498121592508,0.7672634656984242,0.4976437422343561,0.9851868385552196,M
29,0.47281246924532966,0.13827656715689213,0.26249099070964327,0.5217749972715978,0.15372896086427393,R
30,0.014285217604186957,0.023133551281052933,0.2755448169663017,0.44524266031229476,0.03047284301197345,R
31,0.5741292645365665,0.4591168040792154,0.6325698313994466,0.5882251454337445,0.5860610822794862,M
32,0.13229088275249742,0.5370092772094042,0.18568033617107788,0.03279388661911005,0.5478841170954051,R
33,0.2125557010693546,0.4172945306635474,0.09444809901353092,0.19625673559161028,0.07276431914228207,R
34,0.9716473694771262,0.7547584120110737,0.4863993633310596,0.804243849986142,0.4617920275629964,M
35,0.26368868744429347,0.40276890166488916,0.5316426108394059,0.11800229732473813,0.38921734641816863,R
36,0.45463438158760644,0.07043117589375776,0.028613833777082563,0.04688896200265171,0.5077613316937625,R
37,0.2564817516572932,0.43549681771790183,0.26186328332777303,0.2878764087671766,0.47284581647529744,R
38,0.27056823026301136,0.3553532917700364,0.46929920332039304,0.4128966794395905,0.21694426562649793,R
39,0.28547632923006955,0.5732134278163198,0.4195383163478474,0.5284551590554112,0.3813377749084008,R
40,0.6391529425330293,0.8244287184538325,0.618274570400707,0.7427884208631717,0.5683504846250312,M
41,0.9204510997160342,0.824284472020399,0.6918894572013027,0.5700015319929405,0.7441739733755488,M
42,0.33285504291718115,0.509266064851598,0.42569513362727557,0.5311350686779192,0.17918650091427665,R
43,0.6472018585670898,0.497934882523851,0.7900747703372366,0.7369302535517782,0.6882987797342498,M
44,0.8594999600113487,0.5159100642384511,0.4435652262386611,0.8890832896836701,0.8032733626919282,M
45,0.8640309168258979,0.547807144022366,0.7197872495885249,0.5468554784507786,0.5428809136420956,M
46,0.8276949237277802,0.8130106223850939,0.5974075181924253,0.5576582795973426,0.682074945622888,M
47,0.22180236700291406,0.2095970759931954,0.36515309561861703,0.10173271293518356,0.19145452992512388,R
48,0.11892221947367991,0.07138961400347105,0.2551807671887892,0.1573528488595196,0.47638783055175615,R
49,0.026313798746751736,0.10974769439399686,0.2264755492870606,0.10962959959918916,0.5591133422661271,R
50,0.2573288068789357,0.02954824952335841,0.17505320607365193,0.23018565081892636,0.3067575308190509,R
51,0.23638144784085569,0.06523418922644335,0.16829123593629905,0.1829773875604939,0.055110855519822075,R
52,0.8643373828969083,0.8133945062193926,0.5385798091124286,0.6677287697992487,0.8947811353615376,M
53,0.14943544132850115,0.5115048400870753,0.4089627409650895,0.31122359581602266,0.37202053113843325,R
54,0.4789537609742475,0.6902388519145413,0.7084037372743859,0.5812225554972904,0.7130298167249094,M
55,0.554659079920329,0.8163971570167734,0.5229286408148183,0.939613469395296,0.5079345073929807,M
56,0.9941919805316326,0.8331823779007264,0.8772625970102448,0.5354439268117477,0.9769089629752123,M

